,name,neighbourhood_cleansed,price,latitude,longitude,room_type,number_of_reviews,review_scores_rating,review_scores_location
0,Villa Dante,Cuajimalpa de Morelos,"$4,500.00",19.38399,-99.27335,Entire home/apt,0,,
1,Great space in historical San Rafael,Cuauhtémoc,$843.00,19.43937,-99.15614000000001,Entire home/apt,60,97.0,10.0
2,Spacious Clean Quiet room (own bath) in la Condesa,Cuauhtémoc,"$1,359.00",19.412589999999998,-99.17959,Private room,52,98.0,10.0
3,Beautiful light Studio Coyoacan- full equipped !,Coyoacán,"$1,245.00",19.35601,-99.16167,Entire home/apt,102,98.0,10.0
4,NEW  DESIGNER LOFT,Miguel Hidalgo,"$4,868.00",19.4313,-99.19438000000001,Entire home/apt,10,100.0,10.0
5,MARIA DEL ALMA,Coyoacán,"$1,857.00",19.35266,-99.16338,Private room,0,,
6,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,Miguel Hidalgo,"$1,245.00",19.40675,-99.18798000000001,Entire home/apt,266,98.0,10.0
7,Cool room near WTC and Metrobus,Benito Juárez,$296.00,19.39549,-99.17616,Private room,70,97.0,10.0
8,"Huge Luxurious Suite 70's style, perfectly located",Cuauhtémoc,"$1,218.00",19.4239,-99.1689,Entire home/apt,35,94.0,10.0
9,Colorful and spacious Apt. Family favorite,Cuauhtémoc,"$1,314.00",19.41057,-99.1773,Entire home/apt,97,91.0,10.0
10,Extraordinarily Spacious Apt. in Condesa,Cuauhtémoc,"$2,151.00",19.41057,-99.1773,Entire home/apt,24,93.0,10.0
11,Sunny and fresh Retro style Apartment,Cuauhtémoc,"$1,404.00",19.41057,-99.1773,Entire home/apt,64,93.0,10.0
12,Smack in the Middle of La Condesa,Cuauhtémoc,"$1,087.00",19.41395,-99.17948,Entire home/apt,169,92.0,10.0
13,"Condesa-Roma, great place to stay!",Miguel Hidalgo,$792.00,19.40409,-99.17730999999999,Entire home/apt,26,91.0,10.0
14,"Condesa, one of the best zones.",Cuauhtémoc,$611.00,19.40454,-99.1715,Entire home/apt,7,94.0,10.0
15,HIP APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,Cuauhtémoc,"$1,699.00",19.42373,-99.1714,Entire home/apt,247,98.0,10.0
16,"Independent studio, top location",Cuauhtémoc,$679.00,19.43516,-99.13806,Private room,80,97.0,10.0
17,"""Chavela"" Private & Furnished Room",Cuauhtémoc,$317.00,19.41328,-99.15513,Private room,16,83.0,9.0
18,Tours in Mexico city,Azcapotzalco,$752.00,19.49886,-99.19171999999999,Private room,10,100.0,10.0
19,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,Miguel Hidalgo,"$1,245.00",19.40631,-99.18691,Entire home/apt,264,98.0,10.0
20,Charming 1BR flat in Roma/Condesa,Cuauhtémoc,"$1,398.00",19.41835,-99.17363,Entire home/apt,352,95.0,10.0
21,Great location in Mexico City!,Miguel Hidalgo,"$2,015.00",19.42686,-99.17838,Entire home/apt,13,98.0,10.0
22,High End Condo with golf package,Iztacalco,"$2,264.00",19.382579999999997,-99.12736,Entire home/apt,0,,
23,COOL PENT HOUSE APARTMENT @CONDESA,Cuauhtémoc,"$3,261.00",19.41125,-99.17634,Hotel room,7,94.0,10.0
24,Furnished lovely cozy studio,Cuauhtémoc,"$1,132.00",19.412470000000003,-99.17485,Entire home/apt,292,92.0,10.0
25,A nice room with great location,Benito Juárez,$679.00,19.36294,-99.15415,Private room,0,,
26,"The ""home"" feeling in Mexico City!",Cuauhtémoc,"$2,151.00",19.43327,-99.14527,Entire home/apt,120,96.0,10.0
27,Perfect parkfront apt full of light,Benito Juárez,"$1,585.00",19.40042,-99.14806999999999,Entire home/apt,35,96.0,9.0
28,Comfy in the Middle of La Condesa,Cuauhtémoc,"$1,087.00",19.4157,-99.17747,Entire home/apt,176,93.0,10.0
29,2Room new apartment in modern complex,Miguel Hidalgo,$684.00,19.45809,-99.19258,Entire home/apt,35,95.0,9.0
30,"Confortable private room, downtown Mexico City.",Cuauhtémoc,$770.00,19.43453,-99.14675,Private room,106,96.0,10.0
31,WONDERFUL ROOM IN COYOACAN HOUSE,Coyoacán,$453.00,19.340339999999998,-99.18345,Private room,188,96.0,10.0
32,Contemporary chic apartment- Top location,Cuauhtémoc,$793.00,19.41297,-99.15735,Entire home/apt,95,99.0,10.0
33,"Tlalpan, Zona de Hospitales",Tlalpan,$270.00,19.28581,-99.16064,Private room,30,96.0,10.0
34,2 rooms in shared area.,Tlalpan,$270.00,19.28654,-99.16113,Private room,21,97.0,10.0
35,Stay at a meditation center,Cuauhtémoc,$453.00,19.41007,-99.13434000000001,Private room,0,,
36,Habitación Verde.,Tlalpan,$450.00,19.274279999999997,-99.1781,Private room,15,97.0,9.0
37,"CONDESA COZY, COMFORTABLE APARTMENT",Cuauhtémoc,"$1,737.00",19.419420000000002,-99.17373,Entire home/apt,337,96.0,10.0
38,"modern,styled appt!",Benito Juárez,$521.00,19.37923,-99.18833000000001,Entire home/apt,0,,
39,Great Place to stay,Coyoacán,$906.00,19.35179,-99.14956,Private room,0,,
40,beautiful furnished room Rome area,Cuauhtémoc,"$1,245.00",19.40421,-99.16553,Private room,0,,
41,Recámara luminosa y jardín,Miguel Hidalgo,"$2,250.00",19.40215,-99.24135,Private room,0,,
42,"Fully Equipped Condo, excellent location!!!",Benito Juárez,$843.00,19.38542,-99.19003000000001,Entire home/apt,11,100.0,10.0
43,Modern 2 Bedroom Apt. Near Reforma,Cuauhtémoc,"$1,540.00",19.429470000000002,-99.17083000000001,Entire home/apt,18,98.0,10.0
44,Condesa Roma WTC Studio Maximum Covd Protection,Cuauhtémoc,$634.00,19.40179,-99.17009,Entire home/apt,293,90.0,10.0
45,DISTRITO CONDESA B&B  relax enjoy,Cuauhtémoc,"$1,359.00",19.40746,-99.17482,Private room,45,94.0,10.0
46,SALUDOS MI NOMBRE ES FERNANDO,Azcapotzalco,$702.00,19.458029999999997,-99.17289,Private room,0,,
47,Cute Sofa Bed in South Mexico City,Benito Juárez,"$1,139.00",19.36905,-99.18303,Shared room,0,,
48,"Room in colonial, green, enjoyable COYOACAN",Coyoacán,$294.00,19.34303,-99.15425,Private room,9,91.0,10.0
49,"1 BDR ap in Ciudad de México "" STUDIO YEE "" - 1",Cuauhtémoc,$340.00,19.42499,-99.17479,Private room,23,94.0,10.0
50,Colorfull  Mid-Century inspired apartment.,Cuauhtémoc,"$2,332.00",19.41068,-99.17732,Entire home/apt,12,93.0,10.0
51,wonderfully located apartment,Miguel Hidalgo,"$1,087.00",19.438579999999998,-99.21285999999999,Entire home/apt,161,97.0,10.0
52,Incredible apartment in Condesa,Cuauhtémoc,"$1,709.00",19.41489,-99.169,Entire home/apt,9,100.0,10.0
53,"Nice Studio, 50 mts of terrace.",Benito Juárez,$410.00,19.38942,-99.1358,Private room,8,100.0,10.0
54,Explore the City's Historic Center,Cuauhtémoc,$566.00,19.42577,-99.13721,Private room,2,20.0,2.0
55,"Condesa, ideal location apartment",Cuauhtémoc,"$1,359.00",19.40618,-99.17342,Entire home/apt,221,98.0,10.0
56,Nice and cozy room with terrace!!!!,La Magdalena Contreras,$900.00,19.33021,-99.21677,Private room,2,100.0,10.0
57,habitación privada cerca de polanco,Miguel Hidalgo,$226.00,19.443379999999998,-99.18841,Private room,44,96.0,9.0
58,Lit room with balcony new Polanco,Miguel Hidalgo,$385.00,19.444960000000002,-99.18658,Shared room,61,97.0,9.0
59,Studio Chapultepec Mexico City,Miguel Hidalgo,"$1,132.00",19.41471,-99.18563,Private room,4,100.0,10.0
60,Suite junior Roma/Juarez - Sanitizado,Cuauhtémoc,$498.00,19.42675,-99.1613,Entire home/apt,9,89.0,10.0
61,Depto céntrico en San Rafael/6 calles de Reforma,Cuauhtémoc,$589.00,19.438,-99.162,Entire home/apt,22,98.0,10.0
62,Luxury Apt. Plaza Carso Polanco,Miguel Hidalgo,"$2,151.00",19.4435,-99.20307,Entire home/apt,43,94.0,10.0
63,Luxury Room for rent in Mexico City,Miguel Hidalgo,"$1,193.00",19.38875,-99.24067,Private room,0,,
64,"Deluxe 4-BR penthouse, views, historic center",Cuauhtémoc,"$4,981.00",19.4345,-99.13877,Entire home/apt,23,98.0,10.0
65,Nice big room near airport,Venustiano Carranza,$563.00,19.43852,-99.08118,Private room,111,93.0,10.0
66,Beautiful  bedroom in Mexico City near Sta Fe,Álvaro Obregón,$563.00,19.38751,-99.22409,Private room,0,,
67,Roma Condesa Espectacular Home,Cuauhtémoc,"$2,921.00",19.41848,-99.17195,Entire home/apt,166,98.0,10.0
68,Great Apartment w/Balcony & Excellent Location!,Cuauhtémoc,"$1,804.00",19.42924,-99.15699000000001,Entire home/apt,26,98.0,10.0
69,amazing flat in the heart of CONDES,Cuauhtémoc,"$1,200.00",19.40735,-99.18078,Entire home/apt,2,100.0,10.0
70,Un descanso en CDMX,Cuauhtémoc,$204.00,19.4545,-99.15791999999999,Private room,24,99.0,10.0
71,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),Cuauhtémoc,"$2,989.00",19.41131,-99.1769,Hotel room,1,80.0,10.0
72,"""Frida"" beautiful Private Room ",Cuauhtémoc,$410.00,19.414839999999998,-99.15613,Private room,8,94.0,10.0
73,"BALCONY INCREDIBLE VIEWS, AC, Tour Guide, 12D",Cuauhtémoc,"$1,948.00",19.43374,-99.14616,Entire home/apt,48,94.0,10.0
74,Apartment close to the Basílica.,Gustavo A. Madero,$450.00,19.48311,-99.11389,Private room,6,97.0,9.0
75,Trendy Condesa nice room for rent..,Cuauhtémoc,"$1,313.00",19.40716,-99.17694,Private room,28,94.0,10.0
76,Beautiful appartement on Reforma,Cuauhtémoc,"$1,699.00",19.43294,-99.15559,Entire home/apt,24,93.0,9.0
77,90m2 / Mexico City's Hist. downtown,Cuauhtémoc,"$1,960.00",19.43826,-99.1366,Entire home/apt,182,95.0,9.0
78,Apt near Mexico City's downtown,Cuauhtémoc,"$2,264.00",19.44722,-99.16065,Shared room,0,,
79,Mini hostel double bed girls,Miguel Hidalgo,$204.00,19.44566,-99.18688,Shared room,60,96.0,9.0
80,"Sunny comfy flat,great location!",Cuauhtémoc,"$1,948.00",19.41789,-99.17209,Entire home/apt,232,97.0,10.0
81,Lovely studio in colonial San Angel,Álvaro Obregón,$912.00,19.35323,-99.19343,Entire home/apt,149,98.0,10.0
82,"Juan O'Gorman House - Studio, ",Álvaro Obregón,"$7,427.00",19.35002,-99.19901999999999,Entire home/apt,22,100.0,10.0
83,"Big Penthouse, Unmatched View. Great Location.",Miguel Hidalgo,"$9,036.00",19.4143,-99.18042,Entire home/apt,89,98.0,10.0
84,Private room in nice apartment,Miguel Hidalgo,$657.00,19.442320000000002,-99.18332,Private room,1,,
85,1 private room in a nice apartment,Miguel Hidalgo,$657.00,19.44216,-99.18382,Private room,1,91.0,10.0
86,"Comfortable and luminous house, 3 levels, 1-10 prs",Venustiano Carranza,$798.00,19.41451,-99.11776,Entire home/apt,63,91.0,9.0
87,Nice room near to Reforma Av,Cuauhtémoc,$498.00,19.427970000000002,-99.17079,Shared room,0,,
88,Modern Complex in Historic District⭐️,Cuauhtémoc,"$1,879.00",19.43048,-99.14461,Entire home/apt,246,95.0,10.0
89,Simple y Práctico a 2 cuadras de Polanco,Miguel Hidalgo,"$1,177.00",19.44226,-99.18406,Entire home/apt,144,91.0,10.0
90,"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",Miguel Hidalgo,"$1,358.00",19.4418,-99.18401999999999,Entire home/apt,35,91.0,9.0
