airbnb cdmx
id,name,neighbourhood_cleansed,price,latitude,longitude,last_scraped,host_is_superhost,neighbourhood,room_type,calendar_updated,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
107078,NEW  DESIGNER LOFT,Miguel Hidalgo,"$4,868.00",19.4313,-99.19438,2020-06-21,f,Polanco,Entire home/apt,7 weeks ago,10,2019-10-05,100,10,10,10,10,10,10
255354,Tours in Mexico city,Azcapotzalco,$752.00,19.49886,-99.19172,2020-06-26,f,,Private room,65 months ago,10,2019-06-14,100,10,10,10,10,10,10
358441,"Fully Equipped Condo, excellent location!!!",Benito Juárez,$843.00,19.38542,-99.19003,2020-06-26,f,San Pedro De Los Pinos,Entire home/apt,4 weeks ago,11,2020-06-19,100,10,10,10,10,10,10
400047,Incredible apartment in Condesa,Cuauhtémoc,"$1,709.00",19.41489,-99.169,2020-06-26,f,Hipódromo,Entire home/apt,35 months ago,9,2020-03-11,100,10,10,10,10,10,10
422159,"Nice Studio, 50 mts of terrace.",Benito Juárez,$410.00,19.38942,-99.1358,2020-06-26,f,Postal,Private room,4 weeks ago,8,2019-11-03,100,10,8,10,10,10,10
456242,Nice and cozy room with terrace!!!!,La Magdalena Contreras,$900.00,19.33021,-99.21677,2020-06-23,f,,Private room,3 months ago,2,2015-07-08,100,10,10,10,10,10,10
457700,Studio Chapultepec Mexico City,Miguel Hidalgo,"$1,132.00",19.41471,-99.18563,2020-06-21,f,San Miguel Chapultepec,Private room,10 months ago,4,2018-12-14,100,10,10,10,10,10,10
561743,amazing flat in the heart of CONDES,Cuauhtémoc,"$1,200.00",19.40735,-99.18078,2020-06-21,f,Condesa,Entire home/apt,11 months ago,2,2019-04-14,100,10,10,10,10,10,10
640803,"Juan O'Gorman House - Studio, ",Álvaro Obregón,"$7,427.00",19.35002,-99.19902,2020-06-22,t,Campestre/Guadalupe Inn,Entire home/apt,8 months ago,22,2017-05-19,100,10,10,10,10,10,10
783080,Nice quiet room in a lovely house!!,La Magdalena Contreras,$684.00,19.33166,-99.21412,2020-06-26,f,,Private room,9 months ago,1,2015-06-26,100,10,10,10,10,10,10
811088,Sunny 2-bdr. apartment in Condesa!,Cuauhtémoc,"$1,472.00",19.41465,-99.17811,2020-06-20,f,Condesa,Entire home/apt,10 months ago,14,2019-07-31,100,10,10,10,10,10,9
868843,Business Suite PURPLE near Reforma,Cuauhtémoc,"$1,128.00",19.43068,-99.17007,2020-06-25,t,Colonia Cuauhtémoc,Hotel room,3 months ago,27,2020-01-19,100,10,10,10,10,10,10
980600,HABITACION CON BAÑO IND AEROPUERTO ,Venustiano Carranza,$450.00,19.41583,-99.08718,2020-06-23,t,,Private room,3 months ago,47,2020-03-02,100,10,10,10,10,9,10
1011428,PLAZA DEL ARCÁNGEL EN SAN ÁNGEL,Álvaro Obregón,"$7,019.00",19.34377,-99.19288,2020-06-22,f,Campestre/Guadalupe Inn,Entire home/apt,5 months ago,15,2019-12-02,100,10,10,10,10,10,9
1147080,Beautiful and comfortable bedroom ,Tlalpan,$405.00,19.30171,-99.21581,2020-06-23,f,,Private room,13 months ago,1,2015-09-20,100,10,10,10,10,8,8
1164876,Beautiful designer artists home..,Coyoacán,"$4,800.00",19.35051,-99.15265,2020-06-21,t,Coyoacán,Entire home/apt,8 months ago,6,2017-12-30,100,10,10,10,10,10,10
1226234,Cosy apartment in Polanco near park,Miguel Hidalgo,"$2,717.00",19.42834,-99.19382,2020-06-21,f,Polanco,Entire home/apt,5 months ago,21,2018-05-01,100,10,10,10,10,10,10
1233187,Small apartment in Coyoacan,Coyoacán,$385.00,19.34242,-99.15955,2020-06-21,f,Coyoacán,Private room,6 months ago,2,2018-02-27,100,10,8,10,10,10,10
